event_id,event,start_date,end_date,year,rank,fname,lname,country,tomoa_skip
1050,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",2018-05-12,2018-05-13,2018,10,alla,marenych,UKR,NA
1050,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",2018-05-12,2018-05-13,2018,11,mingwei,ni,CHN,NA
1050,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",2018-05-12,2018-05-13,2018,12,cuilian,he,CHN,NA
1050,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",2018-05-12,2018-05-13,2018,13,santi,wellyanti,INA,NA
1050,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",2018-05-12,2018-05-13,2018,14,elena,timofeeva,RUS,NA
1050,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",2018-05-12,2018-05-13,2018,15,victoire,andrier,FRA,NA
1050,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",2018-05-12,2018-05-13,2018,16,iuliia,kaplina,RUS,NA
1049,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2018-05-05,2018-05-06,2018,1,aries,susanti rahayu,INA,NA
1049,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2018-05-05,2018-05-06,2018,2,elena,timofeeva,RUS,NA
1049,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2018-05-05,2018-05-06,2018,3,puji,lestari,INA,NA
1049,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2018-05-05,2018-05-06,2018,4,anna,tsyganova,RUS,NA
1049,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2018-05-05,2018-05-06,2018,5,cuilian,he,CHN,NA
1049,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2018-05-05,2018-05-06,2018,6,elena,remizova,RUS,NA
1049,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2018-05-05,2018-05-06,2018,7,sari,agustina,INA,NA
1049,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2018-05-05,2018-05-06,2018,8,anouck,jaubert,FRA,NA
1049,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2018-05-05,2018-05-06,2018,9,mariia,krasavina,RUS,NA
